Actors,Movies in the top 250
Leonardo DiCaprio,8
James Stewart,7
Harrison Ford,7
Robert De Niro,7
Tom Hanks,6
Paul Newman,5
Cary Grant,5
William Holden,5
Tom Hardy,5
Morgan Freeman,4
Joe Pesci,4
Humphrey Bogart,4
Marlon Brando,4
Christian Bale,4
Matt Damon,4
Mark Hamill,4
Carrie Fisher,4
Charles Chaplin,4
Al Pacino,4
Michael Caine,4
Jack Nicholson,3
Russell Crowe,3
Hugh Jackman,3
Tim Roth,3
Ben Kingsley,3
Sean Astin,3
Clint Eastwood,3
Dustin Hoffman,3
Lee J. Cobb,3
Robert Duvall,3
Jack Hawkins,3
Janet Leigh,3
Brad Pitt,3
Steve Buscemi,3
Claude Rains,3
Ralph Fiennes,3
Kevin Spacey,3
Mark Ruffalo,3
Karl Malden,3
Jennifer Connelly,3
Ethan Hawke,3
Thomas Mitchell,3
Ellen Burstyn,3
Bruce Willis,3
George C. Scott,3
Alec Guinness,3
Max von Sydow,2
Charlton Heston,2
Chris Pratt,2
Dave Bautista,2
Sala Baker,2
Matthew McConaughey,2
Chris Hemsworth,2
Jeff Bridges,2
Chris Sarandon,2
Martin Sheen,2
Daniel Day-Lewis,2
Sigourney Weaver,2
Dana Andrews,2
Marlene Dietrich,2
Jay Baruchel,2
Christopher Plummer,2
James Woods,2
Christoph Waltz,2
Zoe Saldana,2
Michael Biehn,2
Faye Dunaway,2
Emma Stone,2
Eric Idle,2
Noel Appleby,2
Ewan McGregor,2
Guy Pearce,2
F. Murray Abraham,2
Farley Granger,2
Gregory Peck,2
Jake Gyllenhaal,2
Graham Chapman,2
Grace Kelly,2
Orson Welles,2
Fred MacMurray,2
Patrick Magee,2
George Sanders,2
Gary Oldman,2
Harry Dean Stanton,2
Elizabeth Taylor,2
Ray Milland,2
Henry Bergman,2
Robin Williams,2
Diane Keaton,2
Robert Shaw,2
Michael Keaton,2
Jim Carrey,2
Jack Lemmon,2
Robert Mitchum,2
Robert Downey Jr.,2
Jack Carson,2
Ingrid Bergman,2
Hugo Weaving,2
Richard Attenborough,2
Edward Furlong,2
Edward Norton,2
Natalie Portman,2
Robert Redford,2
Christopher Walken,2
Sterling Hayden,2
Anthony Quinn,2
Billy Dee Williams,2
John Gielgud,2
John Goodman,2
Linda Hamilton,2
Bette Davis,2
Toni Collette,2
Benicio Del Toro,2
Trevor Howard,2
Liam Neeson,2
Ben Affleck,2
Steve McQueen,2
Vera Miles,2
John Wayne,2
Arnold Schwarzenegger,2
Laurence Olivier,2
John Cazale,2
Vin Diesel,2
Lauren Bacall,2
Anne Bancroft,2
Viola Davis,2
Angela Lansbury,2
Vivien Leigh,2
Joseph Cotten,2
Joseph Gordon-Levitt,2
Kirk Douglas,2
Willem Dafoe,2
