Director,Movies in the top 250
Alfred Hitchcock,9
Stanley Kubrick,8
Christopher Nolan,7
Martin Scorsese,7
Steven Spielberg,7
Billy Wilder,7
Quentin Tarantino,6
Charles Chaplin,5
Ridley Scott,4
Frank Capra,4
Pete Docter,3
Sidney Lumet,3
Peter Jackson,3
David Lean,3
David Fincher,3
Ethan Coen,3
George Cukor,3
Clint Eastwood,3
Joel Coen,3
Lee Unkrich,3
William Wyler,3
James Cameron,3
Howard Hawks,3
Francis Ford Coppola,3
Peter Weir,2
Guy Ritchie,2
John Ford,2
Ron Howard,2
Mel Gibson,2
Roman Polanski,2
Rob Reiner,2
John Huston,2
Franklin J. Schaffner,2
Sam Wood,2
George Roy Hill,2
Frank Darabont,2
James Gunn,2
Robert Zemeckis,2
Joseph L. Mankiewicz,2
Elia Kazan,2
Danny Boyle,2
Andrew Stanton,2
Victor Fleming,2
Mike Nichols,2
Milos Forman,2
Paul Thomas Anderson,2
Terry Gilliam,2
Damien Chazelle,2
Terry Jones,2
Oliver Stone,2
Orson Welles,2
Otto Preminger,2
David Lynch,2
Richard Linklater,2
Norman Taurog,1
Michael Mann,1
Paul Greengrass,1
Michael Cimino,1
Michael Curtiz,1
Richard Brooks,1
Richard Attenborough,1
Michel Gondry,1
Rich Moore,1
Morten Tyldum,1
Peter Bogdanovich,1
Moustapha Akkad,1
Richard Kelly,1
Adam Elliot,1
Richard Marquand,1
Rob Minkoff,1
Wim Wenders,1
William Friedkin,1
Wes Anderson,1
Tony Kaye,1
Tomm Moore,1
Tom McCarthy,1
Tom Hooper,1
Tim Miller,1
Tim Burton,1
Terry George,1
Tate Taylor,1
Stuart Rosenberg,1
Steve McQueen,1
Stanley Kramer,1
Stanley Donen,1
Sergio Leone,1
Sean Penn,1
Sam Peckinpah,1
Sam Mendes,1
Ronnie Del Carmen,1
Ron Clements,1
Roger Allers,1
Robert Rossen,1
Robert Rodriguez,1
Robert Mulligan,1
Robert Hamer,1
Robert Aldrich,1
Mervyn LeRoy,1
Joss Whedon,1
Mel Brooks,1
Eli Roth,1
Dean DeBlois,1
Denis Villeneuve,1
Destin Daniel Cretton,1
Edgar Wright,1
Edmund Goulding,1
Edward Zwick,1
Frank Miller,1
M. Night Shyamalan,1
Fred Zinnemann,1
Garth Davis,1
Gary Trousdale,1
Gavin O'Connor,1
Gene Kelly,1
George Lucas,1
David Yates,1
David Silverman,1
Darren Aronofsky,1
Curtis Hanson,1
Clyde Bruckman,1
Chris Sanders,1
Charles Laughton,1
Carol Reed,1
Byron Howard,1
Buster Keaton,1
Bryan Singer,1
Brian De Palma,1
Bob Peterson,1
Bob Clark,1
Billy Bob Thornton,1
Barry Levinson,1
Alejandro González Iñárritu,1
George Miller,1
Giuseppe Tornatore,1
Gore Verbinski,1
John Musker,1
Luc Besson,1
Loveleen Tandan,1
Lilly Wachowski,1
Lewis Milestone,1
Lenny Abrahamson,1
Lasse Hallström,1
Lars von Trier,1
Lana Wachowski,1
Kirk Wise,1
King Vidor,1
Alan Parker,1
Jonathan Demme,1
Jon Watts,1
John Sturges,1
John McTiernan,1
Gus Van Sant,1
John Lasseter,1
John G. Avildsen,1
John Frankenheimer,1
John Carpenter,1
Jim Sheridan,1
Jared Bush,1
James McTeigue,1
James Mangold,1
Jacques Tourneur,1
J.J. Abrams,1
Irvin Kershner,1
Henry Selick,1
Henry Koster,1
Harold Ramis,1
Woody Allen,1
