Writer,Movies in the top 250
Christopher Nolan,9
George Lucas,8
Quentin Tarantino,8
Andrew Stanton,8
Stanley Kubrick,8
Billy Wilder,7
Pete Docter,7
Jonathan Nolan,5
Charles Chaplin,5
Nicholas Pileggi,4
David S. Goyer,4
James Cameron,4
Francis Ford Coppola,4
Richard Linklater,4
Chris Sanders,4
Lawrence Kasdan,4
Mario Puzo,4
Stephen King,4
David Webb Peoples,3
Ted Elliott,3
Fran Walsh,3
Ethan Coen,3
Bob Peterson,3
Oliver Stone,3
Joss Whedon,3
Tennessee Williams,3
Burny Mattinson,3
Bob Kane,3
Joe Ranft,3
William Goldman,3
Kevin Harkey,3
Michael Arndt,3
Dalton Trumbo,3
Peter Jackson,3
Dan O'Bannon,3
Leigh Brackett,3
Raymond Chandler,3
Kim Krizan,3
Terry Rossio,3
Philippa Boyens,3
J.R.R. Tolkien,3
Joel Coen,3
Jim Reardon,2
Danny Rubin,2
Michael Palin,2
Roger Avary,2
Michael Crichton,2
Roger Waters,2
Jim Thompson,2
Donn Pearce,2
Ronald Shusett,2
Deric Washburn,2
Dan Abnett,2
John Cleese,2
Stan Lee,2
Jim Starlin,2
Michael Wilson,2
Daniel Mainwaring,2
Michael Herr,2
David Franzoni,2
Larry McMurtry,2
Nick Schenk,2
Gavin O'Connor,2
Hubert Selby Jr.,2
Peter Shaffer,2
Phil Johnston,2
Philip G. Epstein,2
Peter Benchley,2
Philip Kaufman,2
Guy Ritchie,2
Gustav Hasford,2
I.A.L. Diamond,2
Graham Greene,2
Graham Chapman,2
Gillian Flynn,2
Paul Thomas Anderson,2
Paul Schrader,2
Jack Kirby,2
Jean Shepherd,2
Reginald Rose,2
Frederick Knott,2
Frank Pierson,2
Frank Darabont,2
Francis Glebas,2
James Gunn,2
Orson Welles,2
Robert E. Sherwood,2
Ernest Lehman,2
James Mangold,2
Eric Idle,2
Jared Bush,2
Emma Donoghue,2
Noel Langley,2
John Dighton,2
Damien Chazelle,2
John Francis Daley,2
Tony Gilroy,2
Terry George,2
Terry Gilliam,2
Terry Jones,2
Budd Schulberg,2
Brian Pimental,2
Brenda Chapman,2
John Huston,2
Billy Bob Thornton,2
Bill Mantlo,2
Tom McCarthy,2
Ben Hecht,2
Barry Morrow,2
Jules Furthman,2
Julius J. Epstein,2
Carl Foreman,2
Val Mayerik,2
Anthony Shaffer,2
Walon Green,2
Andy Lanning,2
Linda Woolverton,2
Keith Giffen,2
Lilly Wachowski,2
Wes Anderson,2
William Peter Blatty,2
William Wisher Jr.,2
Lana Wachowski,2
Larry Leker,2
Abby Mann,2
Calder Willingham,2
Peter George,2
Charles Leavitt,2
Steve Gan,2
Charlie Kaufman,2
Steve Gerber,2
Mary Chase,2
Cliff Dorfman,2
Martin Scorsese,2
Charles Brackett,2
Steve Englehart,2
John Lasseter,2
Jonathan Goldstein,2
Lorna Cook,1
Lorenzo Semple Jr.,1
Matt Damon,1
Patrick Hamilton,1
Lionel White,1
Paul Brickhill,1
Maxwell Anderson,1
Michael Green,1
Patrick A. Ventura,1
Paul Haggis,1
Meg LeFauve,1
Mohammad Ali Maher,1
Michael Cimino,1
Mel Brooks,1
Paul Wernick,1
Menno Meyjes,1
Michael Hogan,1
Lewis R. Foster,1
Lew Wallace,1
Leonardo Benvenuti,1
Leigh Brown,1
Lee Unkrich,1
Lawrence Hauben,1
Peter Bogdanovich,1
Lawrence B. Marcus,1
Mary Sweeney,1
Mary Shelley,1
Louis Garfinkle,1
Patricia Highsmith,1
Murray Burnett,1
Miguel Tejada-Flores,1
Michel Gondry,1
Nick Lathouris,1
Mark L. Smith,1
Nicole Perlman,1
Mark Kausler,1
Noni White,1
Margaret Mitchell,1
Mardik Martin,1
Nunnally Johnson,1
Michael Punke,1
Malcolm Johnson,1
Marshall Brickman,1
MacKinlay Kantor,1
M. Night Shyamalan,1
Luke Davies,1
Oscar Brodney,1
Lukas Heller,1
Luc Besson,1
Michael McDowell,1
Michael Mann,1
Oscar Saul,1
P.F. Kluge,1
Paddy Chayefsky,1
Michael Logan,1
Morrie Ryskind,1
Omar N. Bradley,1
A.B. Jawdat El-Sahhar,1
Peter Morgan,1
Sylvia Nasar,1
Thomas Moore,1
Thomas Keneally,1
Thomas Harris,1
Thom Enriquez,1
Thanos,1
Tewfik El-Hakim,1
Terry Southern,1
Terence Winter,1
Ted Tally,1
Tate Taylor,1
T.E. Lawrence,1
Sylvester Stallone,1
Simon Rich,1
Sue C. Nichols,1
Stuart Kaminsky,1
Stuart Beattie,1
Steven Zaillian,1
Steven E. de Souza,1
Steve Kloves,1
Steve Ditko,1
Stephen Sinclair,1
Stephen P. Lindsey,1
Stefan Zweig,1
Stan Redding,1
Thomas Narcejac,1
Tim Burton,1
Tom Ellery,1
Tom Schulman,1
Zachary Sklar,1
Woody Allen,1
Wladyslaw Szpilman,1
Winston Groom,1
Willis Goldbeck,1
William Nicholson,1
William Monahan,1
William Makepeace Thackeray,1
William Faulkner,1
William Davies,1
Will Collins,1
Whitfield Cook,1
Whit Masterson,1
Wendell Mayes,1
Walter Tevis,1
Walter Hill,1
W.R. Burnett,1
Vikas Swarup,1
Vera Caspary,1
Upton Sinclair,1
Uma Thurman,1
Tomm Moore,1
Tom Sito,1
Solomon Northup,1
Simon Beaufoy,1
Peter Savage,1
Rebecca Rees,1
Robert Ludlum,1
Robert Lence,1
Robert Hamer,1
Robert Bolt,1
Robert Bloch,1
Lars von Trier,1
Richard Kelly,1
Richard Condon,1
Richard Brooks,1
Rich Moore,1
Rhett Reese,1
Raynold Gideon,1
Sidney Howard,1
Randall Wallace,1
Ralph Eggleston,1
Quinn K. Redeker,1
Pierre Boulle,1
Pierre Boileau,1
Pierre Bismuth,1
Piero De Bernardi,1
Philip Van Doren Stern,1
Philip MacDonald,1
Philip K. Dick,1
Philip Barry,1
Robert Riskin,1
Robert Rodat,1
Robert Rossen,1
Robert Schenkkan,1
Sidney Carroll,1
Sidney Buchman,1
Sergio Leone,1
Sean Penn,1
Scott Z. Burns,1
Scott Frank,1
Saroo Brierley,1
Samuel Hopkins Adams,1
Samuel Hoffenstein,1
Samuel A. Taylor,1
Sam Shepard,1
Sam Peckinpah,1
Roy N. Sickner,1
Roy Horniman,1
Ronnie Del Carmen,1
Ronald Harwood,1
Ronald Bass,1
Ron Clements,1
Roger Allers,1
Roderick Thorp,1
Robert Zemeckis,1
Robert Towne,1
Robert Thoeren,1
Rick Maki,1
John Steinbeck,1
Larry Lieber,1
Daan Jippes,1
David Lloyd,1
David Koepp,1
David Giler,1
Dave Johannson,1
Dashiell Hammett,1
Darren Aronofsky,1
Darrell Rooney,1
Daphne Du Maurier,1
Daniel Wallace,1
Daniel Gerson,1
Dale Wasserman,1
D.M. Marshman Jr.,1
David McKenna,1
Czenzi Ormonde,1
Curtis Hanson,1
Cressida Cowell,1
Cornell Woolrich,1
Cormac McCarthy,1
Clyde Bruckman,1
Chuck Palahniuk,1
Christopher Vogler,1
Christopher Priest,1
Christopher McQuarrie,1
Christopher Ford,1
David Lynch,1
David Reynolds,1
Chris McKenna,1
Ed Gombert,1
Erik Sommers,1
Erich Maria Remarque,1
Eric Roth,1
Eric Bergren,1
Enrico Medioli,1
Elizabeth Reinhardt,1
Edwin Blum,1
Edmund Trzcinski,1
Edmund H. North,1
Edgar Wright,1
Edgar Allan Woolf,1
Drew Goddard,1
David S. Smith,1
Dorothy M. Johnson,1
Donald Ogden Stewart,1
Donald Bevan,1
Diane Johnson,1
Destin Daniel Cretton,1
Dennis Lehane,1
Del Andrews,1
Dean DeBlois,1
Davis Grubb,1
David Seidler,1
David S. Ward,1
Christopher De Vore,1
Chris Marker,1
Laeta Kalogridis,1
Alessandro Baricco,1
Arthur C. Clarke,1
Anthony Tambakis,1
Anthony Burgess,1
Andy Weir,1
Andy Gaskill,1
Andrew Niccol,1
Andrew Knight,1
Andrew Kevin Walker,1
Andrew Hodges,1
Amy Poehler,1
All Others Pay Cash by,1
Alejandro González Iñárritu,1
Ashley Montagu,1
Alec Sokolow,1
Alec Coppel,1
Albert Hackett,1
Alan Mak,1
Alan Ball,1
Al Boasberg,1
Akiva Goldsman,1
Agatha Christie,1
Adolph Green,1
Adam Elliot,1
Aaron Guzikowski,1
Arthur Laurents,1
B. Traven,1
Charles Webb,1
Bruce Woodside,1
Charles R. Jackson,1
Charles MacArthur,1
Charles Lederer,1
Charles Henry Smith,1
Caroline Thompson,1
Carl Gottlieb,1
C. Gardner Sullivan,1
C. Gaby Mitchell,1
Byron Howard,1
Buster Keaton,1
Buck Henry,1
Bruce A. Evans,1
B.H. McCampbell,1
Brian Helgeland,1
Brendan McCarthy,1
Bob Tzudiker,1
Bob Gale,1
Bob Clark,1
Bo Goldman,1
Bill Lancaster,1
Bill Hader,1
Betty Comden,1
Ben Affleck,1
Barry Johnson,1
Ethan Hawke,1
F.X. Toole,1
Felix Chong,1
Joe Simon,1
John Roach,1
John Ridley,1
John Musker,1
John Milius,1
John Michael Hayes,1
John Logan,1
John Hodge,1
John D. Voelker,1
John Briley,1
John August,1
Joel Cohen,1
Joan Harrison,1
John W. Campbell Jr.,1
Joan Alison,1
Jo Swerling,1
Jim Uhls,1
Jim Sheridan,1
Jim Marrs,1
Jim Garrison,1
Jim Capobianco,1
Jill Culton,1
Jenny Tripp,1
Jennifer Lee,1
Jeffrey Boam,1
A.B. Rahman El-Sharkawi,1
John W. Cunningham,1
Florence Ryerson,1
Kaneto Shindô,1
Ladislas Farago,1
L.M. Kit Carson,1
L. Frank Baum,1
Kirk Wise,1
Kirk Hanson,1
Kevin Lima,1
Ken Kesey,1
Kelly Asbury,1
Keir Pearson,1
Kathryn Stockett,1
Karl Tunberg,1
Julie Delpy,1
Jon Krakauer,1
Josie Trinidad,1
Josh Singer,1
Josh Cooley,1
Joseph Stefano,1
Joseph L. Mankiewicz,1
Joseph Kesselring,1
Joseph Carter,1
Jorgen Klubien,1
Jordan Belfort,1
Jonathan Roberts,1
Jon Watts,1
Jeff Pidgeon,1
Jeff Nathanson,1
Jeb Stuart,1
George Axelrod,1
Harper Lee,1
Harold Ramis,1
Hampton Fancher,1
H.A.L. Craig,1
Graham Moore,1
Giuseppe Tornatore,1
Gerry Conlon,1
George Scribner,1
George S. Kaufman,1
George Nolfi,1
George Miller,1
George Abbott,1
Jay Wolpert,1
Gene Wilder,1
Gary Trousdale,1
Gamora,1
Gale Anne Hurd,1
Frederick Treves,1
Frank Miller,1
Frank Capra,1
Frank Abagnale Jr.,1
Franco Ferrini,1
Franco Arcalli,1
Frances Goodrich,1
Harry Grey,1
Harry Kurnitz,1
Henri Charrière,1
Henry Farrell,1
Jay Dratler,1
Janet Peoples,1
James Warner Bellah,1
James Poe,1
James M. Cain,1
James Kevin McGuinness,1
James Fujii,1
James Ellroy,1
James Clavell,1
James Agee,1
Jake LaMotta,1
J.T. Allen,1
J.K. Rowling,1
J.J. Abrams,1
Irvine Welsh,1
Irene Mecchi,1
Ian McLellan Hunter,1
Humphrey Cobb,1
Hume Cronyn,1
Hugo Guinness,1
Howard Koch,1
Horton Foote,1
Herman J. Mankiewicz,1
Zak Penn,1
